,decades,name,number
643,00s,Aleksandr,103
644,00s,Aleksandra,618
645,00s,Aleksei,19
646,00s,Aleksey,28
647,00s,Alekxander,5
648,00s,Alekzander,88
649,00s,Aleli,11
650,00s,Alen,285
651,00s,Alena,3450
652,00s,Alene,11
653,00s,Alenna,5
654,00s,Alesandra,95
655,00s,Alesandro,29
656,00s,Alesha,341
657,00s,Aleshia,15
658,00s,Alesia,154
659,00s,Alessa,305
660,00s,Alessandra,5573
661,00s,Alessandro,2493
662,00s,Alessia,844
663,00s,Alessio,135
664,00s,Alethea,28
665,00s,Aletheia,12
666,00s,Alex,63723
667,00s,Alexa,48058
668,00s,Alexah,40
669,00s,Alexander,175260
670,00s,Alexanderia,5
671,00s,Alexanderjames,5
672,00s,Alexandr,5
673,00s,Alexandra,61215
674,00s,Alexandre,1014
675,00s,Alexandrea,1682
676,00s,Alexandria,25830
677,00s,Alexandro,1715
678,00s,Alexandros,133
679,00s,Alexandru,36
680,00s,Alexandrya,6
681,00s,Alexas,46
682,00s,Alexavier,601
683,00s,Alexcia,244
684,00s,Alexcis,10
685,00s,Alexei,123
686,00s,Alexes,45
687,00s,Alexi,1115
688,00s,Alexia,21111
689,00s,Alexiah,43
690,00s,Alexiana,12
691,00s,Alexie,239
692,00s,Alexis,158484
693,00s,Alexiss,31
694,00s,Alexius,162
695,00s,Alexiz,51
696,00s,Alexsa,60
697,00s,Alexsander,230
698,00s,Alexsandra,658
699,00s,Alexsandro,38
700,00s,Alexsia,22
701,00s,Alexsis,102
702,00s,Alexssa,5
703,00s,Alexsys,5
704,00s,Alexus,6866
705,00s,Alexx,6
706,00s,Alexxa,74
707,00s,Alexxia,6
708,00s,Alexxis,80
709,00s,Alexy,34
710,00s,Alexya,52
711,00s,Alexys,1592
712,00s,Alexyss,35
713,00s,Alexza,32
714,00s,Alexzander,2451
715,00s,Alexzandra,144
716,00s,Alexzandrea,6
717,00s,Alexzandria,252
718,00s,Aleya,126
719,00s,Aleyah,279
720,00s,Aleyda,196
721,00s,Aleyna,228
722,00s,Aleysha,12
723,00s,Alezandra,6
724,00s,Alezay,10
725,00s,Alfonso,4025
726,00s,Alfonzo,137
727,00s,Alfred,2383
728,00s,Alfredo,8494
729,00s,Alhaji,5
730,00s,Ali,9242
731,00s,Alia,2374
732,00s,Aliah,951
733,00s,Alian,5
734,00s,Aliana,1508
735,00s,Alianna,533
736,00s,Alias,28
737,00s,Alice,7917
738,00s,Alicea,31
739,00s,Alicen,25
740,00s,Alicia,22984
741,00s,Aliciana,11
742,00s,Alicja,32
743,00s,Alida,49
744,00s,Aliena,5
745,00s,Alif,5
746,00s,Aliha,5
747,00s,Alijah,3344
748,00s,Alik,6
749,00s,Alika,77
750,00s,Alim,5
751,00s,Alima,6
752,00s,Alin,68
753,00s,Alina,9186
754,00s,Alinah,52
755,00s,Aline,331
756,00s,Alinna,49
757,00s,Aliou,16
758,00s,Alique,5
759,00s,Alis,6
760,00s,Alisa,3093
761,00s,Alisandra,26
762,00s,Alise,237
763,00s,Alisha,5684
764,00s,Alishba,66
765,00s,Alishia,5
766,00s,Alisi,6
767,00s,Alisia,314
768,00s,Alison,13078
769,00s,Alissa,9228
770,00s,Alissandra,17
771,00s,Alissia,6
772,00s,Alisson,1004
773,00s,Alistair,111
774,00s,Alister,12
775,00s,Alisyn,5
776,00s,Alita,11
777,00s,Alitza,15
778,00s,Alitzel,44
779,00s,Alivea,6
780,00s,Alivia,11117
781,00s,Aliviah,38
782,00s,Alix,196
783,00s,Alixandra,6
784,00s,Aliya,3299
785,00s,Aliyah,15155
786,00s,Aliyana,84
787,00s,Aliz,5
788,00s,Aliza,2531
789,00s,Alizabeth,164
790,00s,Alizae,253
791,00s,Alizah,143
792,00s,Alizay,177
793,00s,Alize,2237
794,00s,Alizea,14
795,00s,Alizee,46
796,00s,Alizey,5
797,00s,Alizon,38
798,00s,Alla,11
799,00s,Allaina,5
800,00s,Allan,4716
801,00s,Allana,345
802,00s,Allanah,92
803,00s,Allayna,12
804,00s,Allee,107
805,00s,Allegra,296
806,00s,Alleigh,25
807,00s,Allen,12137
808,00s,Allena,76
809,00s,Allexa,5
810,00s,Allexus,5
811,00s,Alley,58
812,00s,Alli,934
813,00s,Allia,5
814,00s,Alliah,28
815,00s,Alliana,27
816,00s,Allie,11367
817,00s,Allina,11
818,00s,Allisa,34
819,00s,Allison,59975
820,00s,Allissa,183
821,00s,Allisson,1198
822,00s,Allister,6
823,00s,Allisyn,20
824,00s,Alliyah,776
825,00s,Allizon,22
826,00s,Allura,22
827,00s,Ally,3740
828,00s,Allyn,32
829,00s,Allyna,5
830,00s,Allysa,316
831,00s,Allysen,28
832,00s,Allysia,5
833,00s,Allyson,12747
834,00s,Allyssa,1690
835,00s,Allysson,58
836,00s,Alma,4033
837,00s,Almadelia,5
