ID,name,birthstate,countryName,countryCode,birthyear,gender,occupation
20584,Morgan Freeman,TN,UNITED STATES,US,1937,Male,ACTOR
20762,Michael Crichton,IL,UNITED STATES,US,1942,Male,WRITER
20796,Malcolm X,NE,United States,US,1925,Male,SOCIAL ACTIVIST
20864,Margaret Mitchell,GA,UNITED STATES,US,1900,Female,WRITER
21026,Meat Loaf,TX,UNITED STATES,US,1947,Male,SINGER
313503,Candice Bergen,CA,UNITED STATES,US,1946,Female,ACTOR
287316,Kristanna Loken,NY,UNITED STATES,US,1979,Female,ACTOR
21247,Neil Armstrong,OH,United States,US,1930,Male,ASTRONAUT
21504,Nicole Kidman,HI,UNITED STATES,US,1967,Female,ACTOR
21566,Noam Chomsky,PA,United States,US,1928,Male,LINGUIST
21620,Noah Webster,CT,UNITED STATES,US,1758,Male,LINGUIST
21683,Nancy Sinatra,NJ,UNITED STATES,US,1940,Female,SINGER
31471,Tori Amos,MA,United States,US,1963,Female,SINGER
22196,Orson Welles,WI,UNITED STATES,US,1915,Male,ACTOR
22994,Paul Cohen,NJ,United States,US,1934,Male,MATHEMATICIAN
22995,Patti Smith,IL,UNITED STATES,US,1946,Female,SINGER
23005,Philip K. Dick,IL,UNITED STATES,US,1928,Male,WRITER
23229,Paul Robeson,NJ,UNITED STATES,US,1898,Male,SINGER
314475,Carrie Fisher,CA,UNITED STATES,US,1956,Female,ACTOR
23347,Paul Allen,WA,UNITED STATES,US,1953,Male,BUSINESSPERSON
23677,Poul Anderson,PA,United States,US,1926,Male,WRITER
30903,Thomas Pynchon,NY,UNITED STATES,US,1937,Male,WRITER
34051,Walter Gilbert,MA,UNITED STATES,US,1932,Male,CHEMIST
24054,Pope Boniface II,GA,UNITED STATES,US,470,Male,RELIGIOUS FIGURE
24540,Philip Glass,MD,UNITED STATES,US,1937,Male,COMPOSER
25022,Paul Auster,NJ,UNITED STATES,US,1947,Male,WRITER
25147,Peggy Lee,ND,UNITED STATES,US,1920,Female,MUSICIAN
25169,Quentin Tarantino,TN,UNITED STATES,US,1963,Male,FILM DIRECTOR
25389,Robert A. Heinlein,MO,UNITED STATES,US,1907,Male,WRITER
25408,Robert Byrd,NC,UNITED STATES,US,1917,Male,POLITICIAN
25427,Rush Limbaugh,MO,UNITED STATES,US,1951,Male,PRESENTER
25663,Raymond Chandler,IL,UNITED STATES,US,1888,Male,WRITER
320723,Richard Chamberlain,CA,UNITED STATES,US,1934,Male,ACTOR
215829,Ashanti,NY,UNITED STATES,US,1980,Female,SINGER
25530,Robert Rodriguez,TX,UNITED STATES,US,1968,Male,FILM DIRECTOR
38123,Herbie Hancock,IL,UNITED STATES,US,1940,Male,MUSICIAN
25671,Ralph Nader,CT,UNITED STATES,US,1934,Male,POLITICIAN
42238,Gillian Anderson,IL,UNITED STATES,US,1968,Female,ACTOR
25740,Robert E. Lee,VA,UNITED STATES,US,1807,Male,MILITARY PERSONNEL
25808,Robert Noyce,IA,United States,US,1927,Male,INVENTOR
25814,Richard Smalley,OH,UNITED STATES,US,1943,Male,CHEMIST
25815,Robert Curl,TX,United States,US,1933,Male,CHEMIST
293595,Chuck Schuldiner,NY,UNITED STATES,US,1967,Male,MUSICIAN
1181010,Logan Lerman,CA,UNITED STATES,US,1992,Male,ACTOR
1045186,Edward C. Prescott,NY,UNITED STATES,US,1940,Male,ECONOMIST
26010,Robert Johnson,MS,UNITED STATES,US,1911,Male,MUSICIAN
26078,Robert E. Howard,TX,UNITED STATES,US,1906,Male,WRITER
26161,Robert Fulton,PA,United States,US,1765,Male,INVENTOR
44059,Harrison Ford,IL,UNITED STATES,US,1942,Male,ACTOR
38828,Michael Bloomberg,MA,United States,US,1942,Male,POLITICIAN
26265,Robin Wright,TX,UNITED STATES,US,1966,Female,ACTOR
42099,Christopher Lambert,NY,UNITED STATES,US,1957,Male,ACTOR
26370,Robert Jordan,SC,UNITED STATES,US,1948,Male,WRITER
26458,Rosa Parks,AL,UNITED STATES,US,1913,Female,SOCIAL ACTIVIST
